time,x_ref,x_pos,y_ref,y_pos,speed,acc,phi,x_err,y_err,x_dot_err,y_dot_err
0.0,0.0,0.0,0.0,0.0,0.13162861192234274,0.6581430596117136,3.0351683847585975e-08,0.0,0.0,0.8316721444648844,-3.702552000982627e-05
0.01900000000023283,0.016009752962868662,0.0,-6.927867343170398e-07,0.0,0.13645447719097012,0.6822723859548506,3.358804034597125e-08,0.016009752962868662,-6.927867343170398e-07,0.8535848948728463,-3.582535984412927e-05
0.02200000000084401,0.018575713126301536,0.0,-7.999204207805336e-07,0.0,0.1372231240033703,0.6861156200168514,3.411858171349797e-08,0.018575713126301536,-7.999204207805336e-07,0.8570557094911037,-3.5595251922367414e-05
0.05900000000019645,0.05108182810121466,0.0,-2.0527895799831868e-06,0.0,0.14685304506272115,0.7342652253136057,4.110422929641781e-08,0.05108182810121466,-2.0527895799831868e-06,0.9001069966597076,-3.184662932259711e-05
0.07000000000061846,0.06105384297160064,0.0,-2.395322695490088e-06,0.0,0.14976961657562113,0.7488480828781057,4.333915823132981e-08,0.06105384297160064,-2.395322695490088e-06,0.9129932812483441,-3.0407302369547652e-05
0.11000000000058208,0.09851573816085434,0.0,-3.4883958153264364e-06,0.0,0.16058336384831803,0.8029168192415901,5.2068780980677525e-08,0.09851573816085434,-3.4883958153264364e-06,0.9601896128297036,-2.391820050567662e-05
0.11300000000028376,0.10140164781906257,0.0,-3.559304103616103e-06,0.0,0.1614075827134882,0.8070379135674409,5.276067606919393e-08,0.10140164781906257,-3.559304103616103e-06,0.9637506552576334,-2.3352145830854627e-05
0.14800000000013824,0.1358626322988862,0.0,-4.2511356434905876e-06,0.0,0.1711598945478633,0.8557994727393164,6.149258203798747e-08,0.1358626322988862,-4.2511356434905876e-06,1.005515935946915,-1.5929842789352242e-05
0.15300000000024738,0.14090520733384793,0.0,-4.327839209858391e-06,0.0,0.17257363035294482,0.862868151764724,6.292170827866901e-08,0.14090520733384793,-4.327839209858391e-06,1.0115154550970904,-1.4746456364651915e-05
0.15300000000024738,0.14090520733384793,-0.0007054060971165288,-4.327839209858391e-06,-2.1415602627027765e-06,0.17269501275453902,0.8633831470644652,8.375865464767452e-08,0.14161061343096445,-2.186278947155615e-06,1.0115338358787036,-1.4439670835318083e-05
0.17300000000068394,0.16137610312771253,-0.0007054060971165288,-4.57317682749175e-06,-2.1415602627027765e-06,0.17840142730730393,0.8919152198282898,9.021101567523035e-08,0.16208150922482906,-2.431616564788973e-06,1.0356145386797144,-9.398481589650153e-06
0.17300000000068394,0.16137610312771253,0.00474753479857587,-4.57317682749175e-06,-2.3129122884322257e-06,0.3219427230905346,0.8238501221533052,0.00017728058953760145,0.15662856832913666,-2.260264539059524e-06,0.878423459402695,-1.689550589912094e-05
0.25900000000001455,0.2549371533151859,0.008009086990828695,-4.2997549255561235e-06,-2.0791391834188236e-06,0.35444044701392907,0.945503272830949,0.0002620920209146128,0.2469280663243572,-2.2206157421373e-06,0.9753098284837919,1.159939584383172e-05
0.28400000000056025,0.2838404306512895,0.011384631981920579,-3.7413444031045445e-06,-1.9493569754671393e-06,0.3667778439879683,0.9791948391526023,0.0002971084442240644,0.2724557986693689,-1.7919874276374052e-06,1.0007081175696158,2.0575966457701407e-05
0.28400000000056025,0.2838404306512895,0.015694541628000658,-3.7413444031045445e-06,-1.8578753706307624e-06,0.467839130846748,0.9308935146168891,0.00026987052528340593,0.26814588902328884,-1.8834690324737821e-06,0.8899865661866846,1.0235300343184228e-05
0.31200000000080763,0.3171354139578506,0.015694541628000658,-2.8174999992082484e-06,-1.8578753706307624e-06,0.47661169029757705,0.9747563118710342,0.000296355087339552,0.30144087232984995,-9.59624628577486e-07,0.9249488582562955,2.1944535715496776e-05
0.3600000000005821,0.3765025305035315,0.021704660684741278,-4.2460596373848637e-07,-1.5112907774076297e-06,0.5150089539299885,1.0368160311787855,0.0003791316793300643,0.35479786981879025,1.0866848136691433e-06,0.9595017370397156,4.413030691854265e-05
0.3790000000008149,0.40080779112455056,0.021704660684741278,8.297479011622436e-07,-1.5112907774076297e-06,0.521245812358637,1.0680003233220279,0.000397416599226649,0.37910313043980925,2.341038678569873e-06,0.9836751402880699,5.374759452626021e-05
0.42000000000007276,0.4548277379857151,0.035145859958441245,4.184583372153839e-06,-1.0948150978804909e-06,0.6098650773465566,1.0925207132508024,0.00032774863493190257,0.41968187802727386,5.27939847003433e-06,0.9525302459670761,-0.00020375965056353373
0.4580000000005384,0.5068292610078694,0.05281408354763445,8.145139844914798e-06,-3.2926341924083914e-06,0.6778860839598554,1.1190235621507596,0.0003872722704998805,0.45401517746023495,1.143777403732319e-05,0.9390405418460506,0.0033013936017386213
0.49099999999998545,0.5535125802043068,0.08074259696697586,1.2302732639704702e-05,-7.8509538128295e-06,0.7256351163766697,1.138256265563779,0.0012264974735174184,0.472769983237331,2.01536864525342e-05,0.9382574732702351,0.0002591438352329315
0.511000000000422,0.5825003354500229,0.08074259696697586,1.5167174161802214e-05,-7.8509538128295e-06,0.7327539313690999,1.17385034052593,0.001245621429339604,0.501757738483047,2.3018127974631715e-05,0.9645723885275561,0.00027250370598568533
0.5210000000006403,0.5971919054421165,0.12324693554709787,1.6700824527686303e-05,-3.444889589703098e-05,0.8309732730201338,1.115556091848867,0.0004618765573882638,0.47394496989501866,5.1149720424717286e-05,0.8679012175047942,0.00020729612882123264
