,x_m,y_m,c
0,0.128106232,0.2,0.0
1,0.128198502,0.2,0.0
2,0.128283035,0.2,0.0
3,0.128457108,0.2,0.0
4,0.128545364,0.2,0.0
5,0.128652786,0.2,0.0
6,0.1287780459999999,0.2,0.0
7,0.128903259,0.2,0.0
8,0.128998337,0.2,0.0
9,0.129003113,0.2,0.0
10,0.1291130369999999,0.2,0.0
11,0.129214844,0.2,0.0
12,0.129310989,0.2,0.0
13,0.12943071,0.2,0.0
14,0.1295204469999999,0.2,0.0
15,0.130582382,0.2,0.0
16,0.13009993,0.2,0.0
17,0.130196671,0.2,0.0
18,0.130251236,0.2,0.0
19,0.130341019,0.2,0.0
20,0.130529358,0.2,0.0
21,0.130444031,0.2,0.0
22,0.130557938,0.2,0.0
23,0.130661743,0.2,0.0
24,0.130993805,0.2,0.0
25,0.13094191,0.2,0.0
26,0.1313879849999999,0.2,0.0
27,0.131711639,0.2,0.0
28,0.1317417759999999,0.2,0.0
29,0.1320961,0.2,0.0
30,0.132464508,0.2,0.0
31,0.132580002,0.2,0.0
32,0.132846313,0.2,0.0
33,0.133407547,0.2,0.0
34,0.133623352,0.2,0.0
35,0.134136185,0.2,0.0
36,0.13464447,0.2,0.0
37,0.135354141,0.2,0.0
38,0.135995483,0.2,0.0
39,0.13660965,0.2,0.0
40,0.137270721,0.2,0.0
41,0.1382091829999999,0.2,0.0
42,0.139012421,0.2,0.0
43,0.139821472,0.2,0.0
44,0.140779572,0.2,0.0
45,0.1418188169999999,0.2,0.0
46,0.142825928,0.2,0.0
47,0.143861938,0.2,0.0
48,0.1447719569999999,0.2,0.0
49,0.145680664,0.2,0.0
50,0.146774551,0.2,0.0
51,0.14813678,0.2,0.0
52,0.149016907,0.2,0.0
53,0.150179214,0.2,0.0
54,0.151370773,0.2,0.0
55,0.1525483859999999,0.2,0.0
56,0.1538498539999999,0.2,0.0
57,0.15501265,0.2,0.0
58,0.1560377959999999,0.2,0.0
59,0.157165588,0.2,0.0
60,0.1583801269999999,0.2,0.0
61,0.159394455,0.2,0.0
62,0.160364868,0.2,0.0
63,0.16152774,0.2,0.0
64,0.162316711,0.2,0.0
65,0.163174286,0.2,0.0
66,0.164009109,0.2,0.0
67,0.164803925,0.2,0.0
68,0.165843628,0.2,0.0
69,0.166569489,0.2,0.0
70,0.16715892,0.2,0.0
