Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
89,0,0.020134,-0.053574,0.133404,409.042664,59.078766,175.343948
90,0,0.020779,-0.052854,0.135276,427.597656,61.450012,175.412491
91,0,0.021982,-0.052218,0.136516,446.714691,63.88279,175.498825
92,0,0.021699,-0.052369,0.137439,466.223755,66.4039,175.576477
93,0,0.022584,-0.054146,0.137795,486.023315,68.942894,175.67984
94,0,0.022415,-0.056388,0.138664,506.186432,71.613129,175.671967
95,0,0.022343,-0.057539,0.139614,526.838684,74.41954,175.681686
96,0,0.023812,-0.056844,0.139929,547.89856,77.361771,175.59436
97,0,0.021836,-0.055355,0.142238,569.686829,80.174232,175.508881
98,0,0.021814,-0.053671,0.143174,591.905579,83.189575,175.460312
99,0,0.021087,-0.05305,0.143857,614.502869,86.274872,175.499649
100,0,0.021369,-0.053116,0.143936,637.430786,89.357559,175.585556
101,0,0.023002,-0.053402,0.143015,660.660461,92.434067,175.735718
102,0,0.020544,-0.053543,0.143068,684.306152,95.705849,175.890121
103,0,0.019808,-0.053188,0.141517,708.572327,98.992538,176.002975
104,0,0.018868,-0.053248,0.140973,733.134766,102.244667,176.120972
105,0,0.019041,-0.052443,0.140142,758.219299,105.391571,176.200455
106,0,0.01908,-0.051784,0.138134,783.710876,108.579536,176.305618
107,0,0.018319,-0.053001,0.135272,809.513611,111.812538,176.450714
108,0,0.016514,-0.054137,0.132658,835.659363,115.031853,176.526825
109,0,0.0142,-0.054925,0.130393,862.215271,118.316963,176.503815
110,0,0.011483,-0.054558,0.127758,889.240234,121.595047,176.417892
111,0,0.009424,-0.054264,0.124183,916.766296,124.709595,176.29805
112,0,0.009,-0.05359,0.11951,944.828552,127.56826,176.32782
113,0,0.009945,-0.053105,0.113732,973.202576,130.226242,176.205627
114,0,0.009407,-0.052939,0.108743,1001.910583,132.76239,176.245239
115,0,0.00827,-0.053012,0.104019,1031.100952,135.122055,176.371643
116,0,0.008341,-0.052288,0.099357,1060.722046,137.34552,176.521576
117,0,0.007837,-0.049842,0.094282,1091.05481,139.480057,177.073563
118,0,0.003708,-0.051026,0.088228,1121.407104,141.526138,177.484192
119,0,0.001508,-0.051994,0.083139,1152.003418,143.441895,177.635727
120,0,-0.001216,-0.052464,0.078147,1183.048706,145.278397,177.736496
121,0,-0.0032,-0.051688,0.072674,1214.583862,146.920197,177.751251
122,0,-0.006258,-0.051648,0.066991,1246.515869,148.391006,177.786819
123,0,-0.006311,-0.051417,0.059314,1278.849731,149.490082,177.764877
124,0,-0.009964,-0.048918,0.053469,1311.539551,150.286316,177.727051
125,0,-0.006969,-0.046339,0.047163,1344.770142,150.821136,177.680542
126,0,-0.006213,-0.044831,0.038567,1378.296997,150.99614,177.742966
127,0,-0.022587,-0.069083,0.027868,1411.366333,151.107651,179.458405
128,0,-0.010947,-0.070429,0.015142,1445.533447,151.072281,180.896942
129,0,-0.016797,-0.066454,0.005952,1480.033447,150.822464,181.292252
130,0,-0.019479,-0.064109,-0.003917,1514.798584,150.18306,181.29567
131,0,-0.024272,-0.062185,-0.014858,1549.702759,149.086014,181.299026
132,0,-0.025229,-0.060914,-0.025999,1584.825928,147.5896,181.210251
133,0,-0.028633,-0.058972,-0.03583,1620.120117,145.89563,181.227264
134,0,-0.030282,-0.057228,-0.046513,1655.578125,143.860657,181.377823
135,0,-0.032319,-0.055114,-0.059038,1691.17041,141.329758,181.470276
136,0,-0.033039,-0.048315,-0.071491,1726.186523,138.730164,182.609436
137,0,-0.033473,-0.041027,-0.082118,1762.191162,135.28833,183.700424
138,0,-0.034225,-0.041273,-0.094655,1797.915283,131.681854,183.78093
139,0,-0.039373,-0.04063,-0.107728,1833.915039,127.83812,183.817566
140,0,-0.046123,-0.041613,-0.121773,1869.832397,123.66893,184.109085
141,0,-0.047726,-0.042173,-0.13778,1905.81311,118.785629,184.36084
142,0,-0.053437,-0.040321,-0.149459,1941.567017,113.280159,184.73436
143,0,-0.052311,-0.038421,-0.164308,1977.692993,107.432281,185.179321
144,0,-0.054961,-0.036341,-0.17871,2013.641113,100.989082,185.546722
145,0,-0.059256,-0.035279,-0.192427,2049.604248,94.340683,185.870743
146,0,-0.059975,-0.033246,-0.206151,2085.426025,87.022865,186.019272
147,0,-0.059011,-0.030696,-0.221116,2121.444824,79.407806,186.04541
148,0,-0.061434,-0.026417,-0.234245,2157.311035,71.225647,186.035583
149,0,-0.066083,-0.023114,-0.249383,2193.405273,62.962627,186.231781
150,0,-0.067632,-0.019955,-0.26549,2229.24707,53.786381,186.461105
151,0,-0.070686,-0.015199,-0.279405,2264.845703,44.112,186.844742
152,0,-0.070418,-0.012719,-0.296355,2300.314453,33.804485,187.240768
153,0,-0.070121,-0.010794,-0.312341,2335.51709,23.155861,187.54245
154,0,-0.072608,-0.009489,-0.32734,2370.499268,12.063879,187.875656
155,0,-0.074089,-0.007478,-0.342651,2405.356934,0.559604,187.997635
156,0,-0.07245,-0.006599,-0.358833,2440.018799,-11.596116,188.087555
157,0,-0.074829,-0.004038,-0.373897,2474.6521,-24.04977,188.006943
158,0,-0.07701,-0.003135,-0.388484,2509.050293,-36.950184,188.093094
159,0,-0.077727,0.000063,-0.401325,2543.329834,-50.466728,188.073257
160,0,-0.080228,0.004156,-0.414818,2577.625732,-64.275902,188.210785
161,0,-0.0803,0.005187,-0.4304,2611.374756,-78.81321,188.260925
162,0,-0.085372,0.006539,-0.44259,2645.038086,-93.688385,188.323761
163,0,-0.086578,0.008257,-0.45685,2678.370605,-108.937057,188.382782
164,0,-0.088073,0.006408,-0.473916,2711.551025,-124.641281,188.361511
165,0,-0.084413,0.003123,-0.487578,2744.571777,-140.824463,188.382187
166,0,-0.07892,0.001123,-0.501173,2777.611328,-158.100754,186.597916
167,0,-0.076777,0.003085,-0.512853,2810.048096,-175.414337,186.612274
168,0,-0.073208,0.007402,-0.528435,2842.767578,-192.93811,186.547211
169,0,-0.075301,0.011537,-0.540126,2875.001953,-210.735977,186.32254
170,0,-0.074299,0.013876,-0.553654,2906.835938,-229.175034,185.953796
171,0,-0.07433,0.015656,-0.565517,2938.468018,-247.700089,185.70224
172,0,-0.076769,0.019383,-0.57869,2970.329834,-266.430817,185.131302
173,0,-0.076031,0.023012,-0.593277,3001.017822,-286.19165,184.898788
174,0,-0.074293,0.023422,-0.608812,3031.065674,-306.392883,184.800171
175,0,-0.073306,0.023451,-0.622418,3061.116211,-326.922241,184.692932
176,0,-0.072141,0.023102,-0.638721,3090.571289,-347.977753,184.574905
177,0,-0.071109,0.022739,-0.653326,3119.990723,-369.227386,184.357849
178,0,-0.073952,0.023802,-0.668152,3149.787109,-390.727356,183.906174
179,0,-0.077081,0.023615,-0.679823,3177.942871,-412.828491,183.597275
180,0,-0.074905,0.024024,-0.696227,3207.183838,-434.995026,183.083069
181,0,-0.071608,0.026332,-0.70941,3235.442139,-457.857422,182.674911
182,0,-0.074486,0.025972,-0.71914,3262.624023,-481.122437,182.099731
183,0,-0.074709,0.027874,-0.731269,3290.302734,-504.938019,181.632095
184,0,-0.077111,0.027424,-0.743692,3317.075928,-529.009644,181.261108
185,0,-0.076698,0.027365,-0.757744,3343.638916,-553.585815,181.030106
186,0,-0.079268,0.027331,-0.771525,3369.908691,-578.247559,180.864899
187,0,-0.080881,0.027264,-0.787392,3395.639648,-603.42157,180.774002
188,0,-0.077119,0.027745,-0.802945,3421.543701,-629.123596,180.810654
189,0,-0.077034,0.027638,-0.818419,3446.617188,-655.045166,180.56543
190,0,-0.080366,0.026866,-0.833083,3470.957764,-681.170532,180.057617
191,0,-0.080483,0.026946,-0.847559,3495.387695,-707.701355,179.712402
192,0,-0.076123,0.027594,-0.863982,3519.81665,-734.866516,179.661072
193,0,-0.078367,0.028299,-0.880019,3543.368652,-762.177063,179.411819
194,0,-0.077393,0.02751,-0.897225,3566.661133,-789.628784,178.97699
195,0,-0.077901,0.027571,-0.912395,3589.435547,-817.46991,178.82222
196,0,-0.076178,0.027875,-0.925719,3611.426514,-845.991333,178.876083
197,0,-0.073666,0.026788,-0.941135,3633.126709,-874.632935,178.642349
198,0,-0.075033,0.02549,-0.955245,3653.907227,-903.449341,178.251923
199,0,-0.071916,0.02803,-0.970114,3675.52417,-932.696289,178.131805
200,0,-0.069188,0.026904,-0.984323,3695.741211,-962.513428,178.059479
201,0,-0.068733,0.026368,-0.999209,3715.768555,-992.313721,177.994965
202,0,-0.069243,0.025916,-1.014455,3735.296631,-1022.375732,177.945541
203,0,-0.071246,0.026227,-1.029034,3754.394043,-1052.55127,177.887695
204,0,-0.072014,0.024533,-1.045065,3772.801514,-1083.217529,178.030914
205,0,-0.070497,0.024327,-1.058787,3790.958496,-1114.056885,177.984985
206,0,-0.069903,0.024578,-1.073589,3808.752197,-1145.311279,177.768448
207,0,-0.069427,0.026418,-1.088953,3826.02417,-1176.852051,177.636063
208,0,-0.067102,0.028104,-1.101308,3842.920166,-1208.669922,177.462357
209,0,-0.064665,0.028659,-1.115549,3859.080566,-1240.873291,177.431656
210,0,-0.066067,0.030125,-1.130897,3875.08252,-1273.133057,177.370956
211,0,-0.068312,0.033188,-1.14492,3890.728027,-1305.473022,177.240738
212,0,-0.068544,0.034574,-1.159508,3905.582031,-1338.040894,177.172455
213,0,-0.06803,0.034615,-1.173999,3920.158203,-1370.93042,177.009445
214,0,-0.066692,0.036179,-1.18927,3934.181885,-1404.061157,176.744583
215,0,-0.066024,0.036518,-1.203742,3948.060547,-1437.273682,176.387024
216,0,-0.064871,0.040439,-1.217593,3961.091064,-1470.910767,176.229935
217,0,-0.064239,0.042278,-1.231607,3973.792969,-1504.685181,176.047226
218,0,-0.06397,0.041214,-1.248658,3985.928711,-1538.566406,175.727798
219,0,-0.067108,0.04339,-1.262056,3997.609375,-1572.464478,175.704025
220,0,-0.071539,0.04448,-1.280905,4008.779541,-1606.402222,175.504089
221,0,-0.072595,0.044616,-1.295263,4019.071533,-1640.509155,175.557327
222,0,-0.07161,0.045547,-1.314286,4028.836182,-1674.710815,175.074066
223,0,-0.0722,0.043,-1.327262,4038.389648,-1709.392334,175.230026
224,0,-0.071852,0.043911,-1.34208,4047.677002,-1744.065308,174.991852
225,0,-0.070534,0.045039,-1.356782,4056.081299,-1778.916016,174.676483
226,0,-0.070123,0.045781,-1.370988,4064.031006,-1814.032593,174.497345
227,0,-0.070118,0.045906,-1.386339,4071.240967,-1849.171753,174.44577
228,0,-0.073735,0.047176,-1.400678,4078.428711,-1884.091675,174.283249
229,0,-0.075671,0.048837,-1.416219,4084.733398,-1919.186768,174.167969
230,0,-0.074571,0.045942,-1.431538,4090.429199,-1954.432251,174.235931
231,0,-0.073073,0.046173,-1.445623,4095.559082,-1989.809692,174.136276
232,0,-0.073669,0.048865,-1.460701,4100.442383,-2025.250488,173.988144
233,0,-0.070812,0.05048,-1.473988,4104.590332,-2060.894287,174.057556
234,0,-0.070535,0.051514,-1.489679,4108.236816,-2096.42041,173.884094
235,0,-0.06945,0.051917,-1.502739,4111.294922,-2132.127197,173.97963
236,0,-0.072149,0.053606,-1.518513,4113.962891,-2167.694092,174.006104
237,0,-0.074983,0.054638,-1.533386,4116.250488,-2203.185059,173.92009
238,0,-0.073872,0.052739,-1.549851,4117.319824,-2238.635498,173.998138
239,0,-0.073831,0.049726,-1.564639,4118.202637,-2274.005127,174.17244
240,0,-0.071327,0.046601,-1.581676,4118.158691,-2309.58252,174.366791
241,0,-0.071712,0.048773,-1.596165,4118.243164,-2345.046631,174.176453
242,0,-0.070549,0.052139,-1.609263,4117.648438,-2380.779053,174.249771
243,0,-0.066042,0.051796,-1.623476,4116.277832,-2416.527344,174.255997
244,0,-0.066563,0.053596,-1.637528,4114.632324,-2452.132812,174.215881
