Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
92,0,0.030169,-0.009606,0.006534,864.059692,11.143719,570.982544
93,0,0.033182,-0.014858,0.004178,876.426575,8.173035,571.931152
94,0,0.037219,-0.02049,0.002337,888.938904,5.24559,572.870422
95,0,0.041014,-0.025287,0.001559,901.264832,2.226798,573.834961
96,0,0.045481,-0.029907,0.001725,913.754395,-0.707286,574.778259
97,0,0.047499,-0.034712,-0.000118,926.508301,-3.789957,575.695618
98,0,0.051049,-0.038318,0.001306,939.092712,-6.811744,576.692627
99,0,0.05307,-0.042191,0.001531,951.907898,-9.866629,577.636292
100,0,0.052736,-0.04625,0.000907,964.80304,-12.98072,578.591492
101,0,0.055403,-0.050761,0.002221,977.848145,-15.869422,579.618225
102,0,0.051504,-0.053918,0.00243,990.5047,-18.987448,580.743164
103,0,0.053106,-0.057649,0.004519,1003.549805,-21.853168,581.828552
104,0,0.052908,-0.061676,0.005359,1016.832214,-24.741928,582.930481
105,0,0.051449,-0.064343,0.007633,1029.986694,-27.734997,584.084106
106,0,0.050296,-0.066627,0.009921,1043.29126,-30.687302,585.291931
107,0,0.048995,-0.068719,0.012083,1056.757568,-33.557533,586.542297
108,0,0.047122,-0.070116,0.015069,1070.127319,-36.467953,587.871887
109,0,0.04441,-0.070945,0.018671,1083.337769,-39.374687,589.285278
110,0,0.042074,-0.071935,0.021848,1096.625122,-42.222698,590.765259
111,0,0.039749,-0.072814,0.024234,1110.034668,-45.002579,592.362061
112,0,0.036337,-0.073075,0.026879,1123.334473,-47.807499,593.979187
113,0,0.032207,-0.072314,0.029968,1136.516968,-50.721573,595.590149
114,0,0.028456,-0.071417,0.032312,1149.887451,-53.578526,597.211426
115,0,0.02386,-0.07078,0.033851,1163.41394,-56.380146,598.786621
116,0,0.018309,-0.069616,0.036326,1176.717041,-59.31049,600.344116
117,0,0.010922,-0.069447,0.037334,1190.186523,-62.326366,601.967651
118,0,0.006802,-0.070193,0.039893,1203.613525,-64.979607,603.639404
119,0,-0.000339,-0.071555,0.042623,1216.741211,-67.87011,605.369385
120,0,-0.012309,-0.074646,0.045119,1229.867676,-70.881668,607.141602
121,0,-0.016878,-0.078052,0.048337,1242.832642,-73.425232,609.232605
122,0,-0.022755,-0.082477,0.051252,1255.666016,-76.023048,611.502075
123,0,-0.028481,-0.085555,0.053469,1268.387329,-78.622414,613.925415
124,0,-0.033021,-0.090025,0.057066,1280.90979,-81.032631,616.593628
125,0,-0.036327,-0.093626,0.06113,1293.397705,-83.438118,619.549133
126,0,-0.036091,-0.095737,0.066021,1305.64502,-85.682457,622.69397
127,0,-0.037143,-0.098273,0.070584,1318.111084,-88.038567,626.117432
128,0,-0.039338,-0.100458,0.074161,1330.46106,-90.489922,629.570618
129,0,-0.039681,-0.102256,0.07855,1342.719849,-92.89006,633.093384
130,0,-0.039404,-0.10394,0.082664,1354.943726,-95.303154,636.67041
131,0,-0.036921,-0.105316,0.087777,1367.079224,-97.600983,640.259583
132,0,-0.03596,-0.107135,0.091684,1379.23584,-100.042023,643.821411
133,0,-0.034537,-0.108595,0.095106,1391.395142,-102.523834,647.347046
134,0,-0.033361,-0.110077,0.098522,1403.536255,-105.032707,650.766174
135,0,-0.034801,-0.111579,0.102302,1415.652466,-107.370392,654.053406
136,0,-0.035251,-0.112563,0.10606,1427.788452,-109.875244,657.233826
137,0,-0.034064,-0.113123,0.109229,1439.824951,-112.454262,660.352356
138,0,-0.033198,-0.113968,0.112476,1451.811523,-115.102646,663.363892
139,0,-0.031913,-0.114322,0.11558,1463.768066,-117.802345,666.312927
140,0,-0.030415,-0.114583,0.118318,1475.670654,-120.564644,669.180847
141,0,-0.029897,-0.115444,0.121161,1487.561523,-123.459831,671.747131
142,0,-0.02833,-0.1153,0.123324,1499.395874,-126.300049,674.392944
143,0,-0.025892,-0.114998,0.124772,1511.18689,-129.054626,676.855713
144,0,-0.02432,-0.114316,0.126315,1522.981934,-131.908432,679.169495
145,0,-0.023292,-0.113531,0.127625,1534.826416,-134.792984,681.333679
146,0,-0.022519,-0.112402,0.128798,1546.677612,-137.687195,683.317322
147,0,-0.023826,-0.111693,0.129456,1558.786133,-140.614914,684.932861
148,0,-0.023563,-0.110178,0.130031,1570.685425,-143.554367,686.494263
149,0,-0.023727,-0.108675,0.131891,1582.772095,-146.653992,687.753418
150,0,-0.025137,-0.105801,0.132083,1594.780029,-149.707764,688.721436
151,0,-0.024318,-0.10417,0.132047,1606.822021,-152.794586,689.528503
152,0,-0.026823,-0.101301,0.131941,1618.89856,-155.865067,690.112183
153,0,-0.028356,-0.099728,0.130961,1630.995117,-158.970932,690.684143
154,0,-0.029798,-0.098106,0.12949,1643.072266,-162.140762,691.137451
155,0,-0.031377,-0.096764,0.127729,1655.13269,-165.368729,691.411926
156,0,-0.026585,-0.094358,0.124183,1667.168335,-168.439453,691.821045
157,0,-0.02592,-0.093566,0.120847,1679.223633,-171.716431,692.061096
