,x_m,y_m,curvature,vel_5,Tvec_5,vel_8,Tvec_8,vel_10,Tvec_10,vel_12,Tvec_12,vel_15,Tvec_15
1076,-10.52518862887401,-25.741777246978288,0.0006239762454645999,4.9929320540052755,89.35249739926438,6.5768899737026665,67.02229982239591,6.5960742618385115,63.47986164769534,6.588619707904184,62.84628916761714,6.595022902513525,62.69025945738629
1077,-10.461146478170154,-25.358048621235,0.0023563104634527782,4.9929512597391215,89.43041445371283,6.457448235309262,67.08254591986444,6.475925862623664,63.539935846714094,6.468874756632836,62.9064288478147,6.474931279945,62.75034288411037
1078,-10.396749080030276,-24.97435885584682,0.004094294661128215,4.992972941430457,89.50833523820538,6.335680343449971,67.14395311659352,6.353455058087247,63.60117124838167,6.346793616837977,62.96772852068049,6.352515324882488,62.81158734438501
1079,-10.331738597543348,-24.590755482732643,0.005798720456339,4.992997275235976,89.58625900178653,6.211447259262147,67.20659119815609,6.228522328813514,63.66363761240524,6.222237484384199,63.030257979592506,6.227635617337448,62.8740626025773
1080,-10.265857125689577,-24.20728614499229,0.00763366331543063,4.993024451024365,89.66418522144541,6.084594732679017,67.27053753117045,6.100972992574221,63.72741227989818,6.095052334581254,63.09409459700386,6.100137566519246,62.937846004138656
1081,-10.19885936493393,-23.823997646051055,0.008481106370462751,4.993054673378511,89.7421134586792,5.954951226121782,67.335878108334,5.97063511417018,63.79258121845924,5.965066837721957,63.15932436952967,5.969849321459677,63.003023520684536
1082,-10.130604559814433,-23.44093215697034,0.009037200588148164,4.993088160650235,89.82004094525148,5.822329344965725,67.40270682732431,5.837320937208266,63.859238306284055,5.832093799541764,63.226041200182095,5.836583204005555,63.0696890338406
1083,-10.06100479514452,-23.05812919086283,0.009674671545774907,4.993125146205476,89.89796382703801,5.686520742552264,67.47112804994508,5.700821771408385,63.92748788851163,5.6959250511982615,63.294349455778026,5.700130596482291,63.13794689173822
1084,-9.989972225882278,-22.675628385659977,0.010288108329650188,4.993165881654959,89.97587841698144,5.5472899902688395,67.54125967711785,5.560901848223676,63.99744784941424,5.556325306788828,63.364367040135384,5.560255797567243,63.20791498134575
1085,-9.917419363855192,-22.293469193163638,0.010914148360212445,4.993210638430265,90.05378125902722,5.404369375843831,67.61323575312576,5.417293112617175,64.06925221650904,5.413026958217751,63.436227998213184,5.416690814492854,63.27972733258384
