,x_m,y_m,curvature,vel_5,Tvec_5,vel_8,Tvec_8,vel_10,Tvec_10,vel_12,Tvec_12,vel_15,Tvec_15
0,0.0,0.0,0.0002824120665616003,5.0,0.0,8.0,0.0,10.0,0.0,12.0,0.0,15.0,0.0
1,0.38508195534943934,6.938893903907228e-18,0.0002616092369117956,1.0500741696718214,0.3667188151764447,1.0500592962662008,0.3667240095094755,1.0499910538921422,0.3667478441097232,1.0499918759079443,0.3667473602188552,1.0499913415257713,0.3667477436431677
2,0.7701584773252028,3.8792733643058797e-05,0.00024080670257945386,1.4487643997613666,0.6325153270131434,1.448733905596446,0.6325261160538261,1.4485947664091512,0.6325754812509968,1.448595852920994,0.6325746995620122,1.4485955545656648,0.6325752361520881
3,1.1552298726953654,0.00011323312583491618,0.00021762150042660479,1.7743001852072238,0.8495425278080541,1.7742531525283083,0.8495590699007386,1.7740395264555973,0.8496345697453552,1.7740411324816048,0.8496334931071247,1.774041033586037,0.8496341402446466
4,1.5402962372635607,0.00022000165376898084,0.0001968973346943286,2.0553211145168966,1.0368934855977925,2.0552566792755154,1.0369159014114142,2.054965141143742,1.0370179815904315,2.0549674898950427,1.0370165922969174,2.054967583488882,1.0370173293830633
5,1.9253579543317172,0.000355961761111967,0.00017610098319894866,2.305809584313276,1.2038898168172578,2.3057269472378676,1.2039182177664707,2.305354283672878,1.2040472940905125,2.3053575897678753,1.204045566739733,2.3053578792383833,1.2040463813748556
6,2.3104151044609598,0.0005179491786109491,0.0001520040494655376,2.533759073309919,1.3558605342615944,2.5336574934576794,1.3558950280481628,2.5332006579606614,1.356051511755604,2.533205135913822,1.3560494171460133,2.5332056291559266,1.3560503007449174
7,2.695468016990001,0.0007025889364864479,0.0001326415301398728,2.7442229077337377,1.4961745574821277,2.744101698638906,1.496215249047647,2.7435577681748,1.4963995522687932,2.743563636515646,1.4963970588624327,2.7435643436942336,1.4963980048849965
8,3.08051684168569,0.0009067999253780656,0.00010952741622850764,2.9406266705843214,1.6271156533713635,2.940485201208453,1.6271626446302474,2.939851343099747,1.627375181275066,2.9398588268212866,1.6273722558173394,2.9398597593845794,1.6273732589318177
9,3.465561823633923,0.001127277278737182,8.761983030775173e-05,3.125415099219666,1.7503137031815152,3.1252528000490365,1.7503670923040557,3.12452624757569,1.7506082779308616,3.1245355798351206,1.7506048857254493,3.1245367500377093,1.7506059413659139
10,3.850603280111967,0.001360799583033201,6.800496508339118e-05,3.300403082585078,1.8669787036851717,3.3002194575054604,1.8670385840790602,3.2993974917831324,1.8673088356087315,3.299408915235165,1.8673049406342785,3.299410335893962,1.8673060447459697
11,4.235641358700824,0.0016042875239190013,4.37602600132072e-05,3.466980525169389,1.9780373475919524,3.4667751705450156,1.978103806550928,3.4658551068406287,1.9784035420252153,3.4658688747826583,1.978399106972719,3.465870559148819,1.9784002558555394
12,4.620676313298277,0.0018543567153474494,2.3386605340077285e-05,3.6262392184649728,2.0842176111121367,3.6260118520511564,2.0842907280266623,3.6249910293405567,2.0846203664772975,3.625007406762567,2.0846153527440845,3.6250093684550015,2.084616542951076
13,5.0057083000040885,0.002107851309118225,1.4043743059567567e-06,3.779054829828365,2.1861034231711973,3.778805334003885,2.1861832671019186,3.7776811068761833,2.1865432284816992,3.7777003714702064,2.1865375961404476,3.777702624443692,2.186538824408967
14,5.390737634105094,0.002361549696283771,2.0685510361354306e-05,3.926142208158819,2.2841715514429275,3.9258706952322324,2.2842581777581388,3.924640427623599,2.2846488829443965,3.9246628707854665,2.2846425906960244,3.9246654293189636,2.284643853899231
