Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
83,0,-0.063937,-0.128752,2.459044,-2856.654785,-4291.413086,133.424286
84,0,-0.072034,-0.131001,2.432934,-2904.791504,-4261.988281,132.927109
85,0,-0.071545,-0.140094,2.406864,-2951.828125,-4232.093262,132.42955
86,0,-0.063416,-0.136557,2.384446,-2997.198242,-4202.107422,131.902771
87,0,-0.061053,-0.128178,2.356571,-3042.087158,-4171.390625,131.794296
88,0,-0.072509,-0.110929,2.335203,-3069.664795,-4133.479004,136.219864
89,0,-0.079495,-0.123831,2.307162,-3114.582764,-4102.674805,134.766922
90,0,-0.087088,-0.133928,2.280904,-3157.859863,-4071.153564,133.751236
91,0,-0.087643,-0.137175,2.255097,-3197.694092,-4038.75293,134.664627
92,0,-0.084259,-0.12392,2.230931,-3238.98999,-4005.947998,133.526352
93,0,-0.089981,-0.12581,2.206078,-3276.807617,-3972.412598,134.413803
94,0,-0.091364,-0.124816,2.181624,-3316.599854,-3939.072266,133.66185
95,0,-0.088714,-0.118149,2.160439,-3352.851074,-3905.108154,134.377487
96,0,-0.094333,-0.126854,2.129284,-3392.41626,-3870.983887,132.131332
97,0,-0.096993,-0.128759,2.103442,-3428.218018,-3835.97998,131.767899
98,0,-0.10964,-0.147895,2.075664,-3463.81543,-3801.382568,131.086136
99,0,-0.105481,-0.136617,2.057722,-3496.313965,-3765.342773,131.20752
100,0,-0.106567,-0.139105,2.032145,-3529.380615,-3729.962891,131.300125
101,0,-0.100303,-0.128596,2.01217,-3561.790283,-3694.304688,130.568619
102,0,-0.095251,-0.112783,1.986872,-3594.661377,-3658.521973,129.779984
103,0,-0.092035,-0.119816,1.962091,-3622.4646,-3621.63208,130.957962
104,0,-0.103498,-0.130655,1.937997,-3650.661133,-3585.039307,130.967255
105,0,-0.099049,-0.10742,1.9214,-3678.522217,-3547.790771,131.105606
106,0,-0.093094,-0.111735,1.902213,-3724.27002,-3519.881104,109.415543
107,0,-0.096143,-0.107771,1.885906,-3749.962402,-3482.413818,109.370789
108,0,-0.101414,-0.105817,1.868296,-3774.775146,-3444.841064,109.097351
109,0,-0.103649,-0.106109,1.849516,-3798.049805,-3407.017578,109.189415
110,0,-0.100551,-0.105228,1.826981,-3820.157715,-3369.668701,109.397102
111,0,-0.099375,-0.105161,1.807111,-3841.052002,-3331.77417,109.732849
112,0,-0.100127,-0.10554,1.788888,-3861.287598,-3294.174316,109.949081
113,0,-0.100622,-0.103643,1.77172,-3880.328125,-3256.192139,110.23037
114,0,-0.101823,-0.102989,1.753154,-3897.991211,-3217.375977,110.885574
115,0,-0.098144,-0.11627,1.733103,-3913.775146,-3176.779297,115.214104
116,0,-0.109457,-0.119847,1.725527,-3927.983643,-3137.396729,118.047043
117,0,-0.103175,-0.11552,1.709105,-3942.96167,-3099.259766,118.181328
118,0,-0.101623,-0.109888,1.694272,-3956.830078,-3061.085938,118.922722
119,0,-0.099282,-0.109301,1.678558,-3970.426758,-3022.201904,118.980911
120,0,-0.09978,-0.113284,1.664489,-3982.971436,-2983.840576,118.935936
121,0,-0.099445,-0.111392,1.653162,-3994.109619,-2945.219238,119.056297
122,0,-0.093899,-0.105681,1.640066,-4004.417969,-2906.466309,119.601891
123,0,-0.091794,-0.10308,1.629648,-4013.176514,-2867.783691,119.808083
124,0,-0.086335,-0.102779,1.616851,-4020.845459,-2829.170166,120.169594
125,0,-0.085606,-0.097967,1.608375,-4028.038574,-2790.608643,120.532242
126,0,-0.084287,-0.098194,1.598885,-4034.109131,-2751.849854,120.935913
127,0,-0.085474,-0.099345,1.591795,-4039.495361,-2713.170898,121.073288
128,0,-0.084824,-0.093906,1.587929,-4044.146973,-2674.30957,121.219444
129,0,-0.082105,-0.095127,1.579213,-4047.49292,-2635.228027,121.886604
130,0,-0.095552,-0.103912,1.562292,-4048.121826,-2596.69751,122.943588
131,0,-0.096951,-0.105245,1.55128,-4049.952148,-2557.019287,123.281441
132,0,-0.156412,-0.135049,1.515931,-4047.920654,-2516.766846,121.195999
133,0,-0.053369,-0.069152,1.583988,-4054.453857,-2474.912598,121.108688
134,0,-0.039467,-0.072242,1.583015,-4054.210205,-2434.896484,121.427063
135,0,-0.032591,-0.066618,1.573174,-4053.036621,-2394.093018,121.812592
136,0,-0.029412,-0.066032,1.559148,-4051.428711,-2353.381348,122.314278
137,0,-0.023972,-0.06509,1.548801,-4049.117188,-2312.412109,122.726562
138,0,-0.027824,-0.059765,1.53794,-4046.567383,-2270.4729,123.172287
139,0,-0.087917,-0.085854,1.455829,-4038.320068,-2225.949707,116.669525
140,0,-0.08834,-0.089704,1.439717,-4033.874512,-2183.287598,116.825401
141,0,-0.085269,-0.085866,1.424134,-4028.711426,-2140.318848,117.176949
142,0,-0.078365,-0.080135,1.414598,-4023.565186,-2097.059082,116.31749
143,0,-0.076424,-0.080667,1.400393,-4016.514404,-2053.383789,116.981186
144,0,-0.07291,-0.077144,1.383734,-4009.610107,-2009.830688,117.809952
145,0,-0.060898,-0.075755,1.357221,-4000.203125,-1966.258911,118.92952
146,0,-0.074493,-0.089786,1.344975,-3992.184082,-1921.856934,118.783607
147,0,-0.076055,-0.084774,1.331401,-3983.146484,-1877.676392,119.783737
148,0,-0.075116,-0.081723,1.319414,-3973.640625,-1832.809692,120.657326
149,0,-0.074782,-0.080164,1.306124,-3963.008301,-1788.064453,120.966759
150,0,-0.079671,-0.073657,1.293434,-3951.919922,-1743.118042,121.404556
151,0,-0.08561,-0.071528,1.276866,-3939.300293,-1699.264282,121.541756
152,0,-0.091084,-0.070344,1.268102,-3927.65918,-1654.229004,121.435303
153,0,-0.093902,-0.069552,1.258827,-3914.9021,-1610.051636,121.42308
154,0,-0.074025,-0.050901,1.245819,-3901.19873,-1566.415405,122.805557
155,0,-0.089959,-0.060951,1.224042,-3885.695557,-1523.736938,123.117455
156,0,-0.097331,-0.066415,1.206692,-3870.616699,-1481.121582,123.091171
157,0,-0.103276,-0.059969,1.195104,-3855.321289,-1439.014893,124.168823
158,0,-0.099866,-0.062446,1.170658,-3837.631592,-1397.376953,124.10511
159,0,-0.10578,-0.064578,1.157809,-3822.359863,-1355.236816,123.023575
160,0,-0.10702,-0.060779,1.147039,-3804.326904,-1314.380737,123.48719
161,0,-0.109695,-0.064009,1.131701,-3786.049805,-1273.562378,123.5476
162,0,-0.107103,-0.060799,1.118234,-3767.717285,-1233.256958,123.630722
163,0,-0.173134,-0.132192,1.124311,-3752.807373,-1189.698242,130.197861
164,0,-0.172325,-0.134023,1.107352,-3734.250732,-1148.481567,128.377396
165,0,-0.168011,-0.131774,1.092375,-3716.329346,-1108.588867,126.574608
166,0,-0.157535,-0.127317,1.074591,-3696.80835,-1069.096924,125.370026
167,0,-0.146187,-0.132741,1.067769,-3678.224121,-1033.17981,124.583092
168,0,0.004687,-0.054752,0.981954,-3606.201904,-1011.099792,147.790527
169,0,-0.076852,-0.04182,1.020663,-3622.426025,-961.54248,124.978546
170,0,-0.076476,-0.041731,1.004893,-3599.054199,-925.0047,124.980446
171,0,-0.057945,-0.026214,0.989235,-3574.156738,-889.164917,125.258553
172,0,-0.055144,-0.010243,0.981584,-3551.684326,-852.70575,122.957718
173,0,-0.057693,-0.00742,0.967542,-3526.870605,-817.270325,122.715744
174,0,-0.055731,-0.004741,0.952036,-3502.080322,-782.43335,122.451691
175,0,-0.058464,-0.015798,0.922931,-3472.942627,-749.378052,124.340721
176,0,-0.051998,-0.018928,0.901559,-3445.719482,-715.794495,124.652863
177,0,-0.082878,-0.034387,0.889736,-3418.567871,-682.921082,123.203491
178,0,-0.07975,-0.028257,0.878949,-3388.941895,-650.789917,124.382057
179,0,-0.089897,-0.029539,0.870422,-3356.878906,-620.439148,126.203598
180,0,-0.089176,-0.030092,0.856081,-3330.042969,-588.304382,125.069084
181,0,-0.032492,-0.028068,0.848004,-3312.152344,-551.660828,124.393982
182,0,-0.033502,-0.036094,0.833371,-3283.762207,-521.098267,124.219063
183,0,-0.030451,-0.037607,0.818047,-3253.934326,-490.817474,124.80204
184,0,-0.03089,-0.036456,0.803428,-3223.630371,-460.655762,124.778816
185,0,-0.029084,-0.038505,0.792077,-3194.479004,-430.669281,124.181465
186,0,-0.034324,-0.037559,0.781421,-3163.299561,-401.868073,124.429314
187,0,-0.078603,-0.044546,0.762129,-3133.005127,-372.788544,129.662338
