,x_m,y_m,curvature,vel_5,Tvec_5,vel_8,Tvec_8,vel_10,Tvec_10,vel_12,Tvec_12,vel_15,Tvec_15
0,0.0,0.0,0.00010914857064383623,5.0,0.0,8.0,0.0,10.0,0.0,12.0,0.0,15.0,0.0
1,0.35302781553259266,4.163336342344337e-17,0.00010782721770539193,1.1266730521675457,0.31333652194256484,1.1266381361827038,0.3133462326499332,1.126668112660658,0.31333789566379733,1.1266730508679221,0.3133365223040002,1.1266381376241565,0.3133462322490292
2,0.70605823329447,-1.3438507534213606e-05,0.00010650585517657337,1.5749732616281926,0.5374866244355392,1.5749002388614044,0.5375067282206759,1.574962935313549,0.5374894678069037,1.5749732606172508,0.5374866249408518,1.5749002510135361,0.537506726090121
3,1.059091348242716,-4.013775828642929e-05,0.00010454002873994265,1.9390948248928,0.7195474042519006,1.938980251295994,0.7195782659384482,1.9390786257287222,0.7195517685685249,1.9390948240428871,0.719547404837011,1.9389802788284074,0.7195782612225811
4,1.412127325847242,-7.990459504469971e-05,0.00010441022388684981,2.2525494201249705,0.876274700305923,2.2523899620400485,0.8763166575109664,2.2525268779339376,0.8762806330729318,2.2525494193806552,0.8762747009428212,2.252390010096769,0.876316649450948
5,1.7651663671197002,-0.00013267820403117803,0.00010395074009985631,2.5314696502723635,1.0157348139908227,2.5312620357907476,1.0157882097347448,2.5314403038009208,1.0157423634905025,2.5314696496043654,1.0157348146645213,2.5312621099564496,1.0157881975882255
6,2.118208589291077,-0.00019835349054686535,0.00010084184073946713,2.785000802885781,1.1425003890363443,2.7847417612070946,1.1425655767416676,2.78496419122553,1.1425096050199883,2.7850008022767723,1.1425003897377635,2.784741867551375,1.1425655597537483
7,2.47125406864698,-0.00027668521897850074,0.00010191397423359862,3.018891606266473,1.259445789564461,3.018577819613332,1.2595231339568156,3.018847262068245,1.2594567233726828,3.018891605705484,1.2594457902876117,3.0185779647549498,1.259523111345252
8,2.824303007719826,-0.000367614214838774,9.786626910785482e-05,3.237023454403891,1.3685117125506145,3.2366515194824244,1.368601590088801,3.236970898450263,1.3685244171698105,3.237023453883748,1.3685117132912905,3.2366517106636867,1.3686015610342341
9,3.1773555511078637,-0.00047087945064472336,0.00010039998575794684,3.4421578921881033,1.471078930426191,3.4417242872090177,1.4711817298757945,3.442096628758406,1.471093460566347,3.44215789170414,1.471078931181288,3.4417245323794674,1.4711816935139554
10,3.5304118535035585,-0.0005865076142363979,9.557668967401834e-05,3.636340126281768,1.5681700465125121,3.635841180756651,1.5682861697503372,3.6362696389154734,1.5681864587180105,3.636340125831162,1.5681700472796403,3.6358414886674337,1.5682861251649536
11,3.883471972122067,-0.0007141881988894649,9.737001209536372e-05,3.8211335348205187,1.6605667498698788,3.820565400200407,1.660696612897621,3.82105328220625,1.660585102659935,3.8211335344019823,1.6605667506471273,3.8205657805115107,1.6606965591134115
12,4.2365361965984505,-0.0008539105494889121,9.448255516296175e-05,3.9977643823784756,1.7488821727796524,3.997123002163106,1.7490262069412168,3.9976737941757796,1.7489025268173952,3.997764381992204,1.7488821735654343,3.997123465566181,1.7490261429165916
13,4.589604536588362,-0.001005450981506062,9.345218908748022e-05,4.167214906940918,1.8336074342302116,4.166495985061813,1.8337660875932316,4.167113379367118,1.8336298525147008,4.1672149065888,1.8336074350231526,4.166496543421934,1.833766012212454
14,4.942677242863144,-0.001168662257941655,9.334872092368932e-05,4.3302862278036,1.915143093866471,4.329485194343696,1.9153168328086327,4.330173118855253,1.9151676419532708,4.330286227489818,1.91514309466532,4.329485860863996,1.9153167448731947
15,5.295754363661719,-0.0013434563162826318,9.053248364445132e-05,4.4876415614011815,1.9938207599042705,4.48675353455415,1.9940100708806805,4.4875161855579115,1.9938475061511032,4.487641561133595,1.9938207607078111,4.486754323968304,1.994009969099698
16,5.648836129444664,-0.0015296199689973644,9.16135036001574e-05,4.639837335810856,2.06991864638308,4.638857079055629,2.0701240379297694,4.639698958080959,2.0699476622281936,4.6398373356044065,2.0699186471900064,4.638858007854216,2.0701239209091433
17,6.001922676513413,-0.0017271133924965376,8.816366841362789e-05,4.787345634778053,2.1436727951823946,4.786267507956859,2.1438948001602944,4.787193463908882,2.1437041554560365,4.787345634665227,2.143672795991059,4.786268594655299,2.1438946663903833
18,6.355014081434024,-0.0019356923110371849,8.910156381081248e-05,4.930571021053513,2.215285487712124,4.929388923919712,2.215524665844727,4.930404201739704,2.2153192709879663,4.930571021137243,2.2152854885195725,4.929390189377398,2.215524513686221
19,6.708110547698782,-0.0021552972696834427,8.591028011509752e-05,5.00000004978363,2.285904793920057,5.068570656444555,2.2851885925192814,5.069680953873485,2.2849679407500285,5.069863350584116,2.284931652555664,5.068572124247535,2.2851884201868646
20,7.0612121498354785,-0.0023856877136432253,8.613601079269283e-05,5.0000000497833685,2.3565251286766826,5.204116960272923,2.353039042460039,5.205328494748129,2.3528025985732772,5.2055274814668415,2.352763717328348,5.204118657196124,2.3530388480034143
21,7.4143191608459595,-0.0026267817955527573,8.445387599649846e-05,5.000000049783107,2.427146546637026,5.336294793419974,2.419209879527151,5.33761438159536,2.418957076599082,5.337831067814176,2.4189155098507116,5.336296749989736,2.419209660808783
22,7.767431607418067,-0.0028784248229460907,8.348821922800711e-05,5.000000049782845,2.4977690531814454,5.465339697822585,2.4838193193353595,5.4667748510825405,2.4835495549536573,5.467010458413767,2.4835052045154518,5.46534194900714,2.4838190740042436
